path,split,label,filename,file_size_bytes,corrupt,corrupt_reason,width,height,mode,format,grayscale_like_ratio,likely_grayscale,filename_suggests_thermal,sha256,dhash,ahash,suspicious,suspicious_reason,near_dup_cluster
test/Bird-drop/Bird (137).JPG,test,Bird-drop,Bird (137).JPG,61166,False,,489,295,RGB,JPEG,0.0028629658385093,False,False,ca3689dabb0037bac899d56e44eb7e42fe11142f656c3aa246be785cc19c7cc4,15325930291055461520,18421740411661158657,False,,0
test/Bird-drop/Bird (14).JPG,test,Bird-drop,Bird (14).JPG,55229,False,,592,374,RGB,JPEG,0.0012646221941195,False,False,88186261cbb3cc203865b494f9aae45d919cb661fd104ffde932dd886dd3c001,6123394310599470573,18437948977128734472,False,,1
test/Bird-drop/Bird (140).jpg,test,Bird-drop,Bird (140).jpg,108983,False,,800,600,RGB,JPEG,0.0016041532987225,False,False,95366f30bbd3b564cc968a0e1e428a53a32a4e4633bef3fd7eb8c031568dd500,11899673920817184975,3422461968521596924,False,,2
test/Bird-drop/Bird (146).jpg,test,Bird-drop,Bird (146).jpg,42172,False,,474,316,RGB,JPEG,0.0034582671277689,False,False,058bdffd751b29a4f685048f29dfcefd8eb7464ddd3f5ecdfa71692b5fd24f6a,10746977177414949213,13799022214927355952,False,,3
test/Bird-drop/Bird (148).jpg,test,Bird-drop,Bird (148).jpg,42331,False,,450,300,RGB,JPEG,0.0022814476822565,False,False,90206c0408a7e3401c73e27c2c93ab8497de6e7dd1dadcf3ef2954bf3aa41c4e,14323857083120585025,18419497218894660098,False,,4
test/Bird-drop/Bird (16).JPG,test,Bird-drop,Bird (16).JPG,54936,False,,473,477,RGB,JPEG,0.0021717547778605,False,False,b2e3540f1b3055bf8a8e8eb785eb0a8d9c6142c850b1738960644d0ec0f545f4,10838198264295610536,18446461494943220483,False,,5
test/Bird-drop/Bird (164).jpg,test,Bird-drop,Bird (164).jpg,78046,False,,638,476,RGB,JPEG,0.0017748478701825,False,False,b97a8233581c80e3a6b706ebf808e435d39b3c089d828cae08bb64c2c6fcb0e1,17792222169921153898,17998918317518143680,False,,6
test/Bird-drop/Bird (196).jpg,test,Bird-drop,Bird (196).jpg,11906,False,,259,194,RGB,JPEG,0.0310671496238506,False,False,1db26af91e96a96b0048a3a453ce46f8937033678abebca15b0835925af0249e,12371156239275853023,18229720801525922288,False,,7
test/Bird-drop/Bird (211).JPG,test,Bird-drop,Bird (211).JPG,36424,False,,383,245,RGB,JPEG,0.0015665796344647,False,False,080cc324fe7db05703a2544ecc1fc77d6300fd14726a347f32922c6fa860d74a,3394319007678541338,2899223306125147192,False,,8
test/Bird-drop/Bird (33).jpg,test,Bird-drop,Bird (33).jpg,614421,False,,1600,1200,RGB,JPEG,8.749990885426161e-05,False,False,1521c415cd502bbaa7b86103328c3c3e02cebb3a42d7c3365491fb3a981dc78e,17381781619424437810,18446742974197923840,False,,9
test/Bird-drop/Bird (54).jpg,test,Bird-drop,Bird (54).jpg,20508,False,,178,189,RGB,JPEG,0.0110278818143986,False,False,fc6cf11e79aa473abc66512b8115c025ffa3f2fdd6386f9a38d380fba46c3ccb,9268921048040118185,18446743176128495616,False,,10
test/Bird-drop/Bird (55).jpg,test,Bird-drop,Bird (55).jpg,128347,False,,768,576,RGB,JPEG,0.0097790999430343,False,False,b0595efb57b8a6371ec87f9576e64bb17dc773431b915122c89a9e8b093286e8,5666380483930530680,15856750967657533184,False,,11
test/Bird-drop/Bird (58).jpg,test,Bird-drop,Bird (58).jpg,78046,False,,638,476,RGB,JPEG,0.0017748478701825,False,False,b97a8233581c80e3a6b706ebf808e435d39b3c089d828cae08bb64c2c6fcb0e1,17792222169921153898,17998918317518143680,False,,6
test/Bird-drop/Bird (71).jpg,test,Bird-drop,Bird (71).jpg,67354,False,,474,632,RGB,JPEG,0.022782503037667,False,False,692ae3ca93dfb7c40cda21a042823a8077233a24dd91f19842ded715d3534857,17365858995640851048,18446457101308952835,False,,12
test/Bird-drop/Bird (79).jpg,test,Bird-drop,Bird (79).jpg,1023736,False,,2016,1512,RGB,JPEG,0.0068089542915931,False,False,e1cb0e8f49ce1a715747029e07abea7e60092c5360e61aec0e4b8a636890d987,15308953891876304598,9439828223727762688,False,,13
test/Bird-drop/Bird (81).jpg,test,Bird-drop,Bird (81).jpg,392880,False,,986,740,RGB,JPEG,0.0156089605218976,False,False,5fb73d60632b430db23ffcaf78f2cbc805f82bff9e8dc6a536dd41a76389d6d5,10065313227914675423,18229720801525922288,False,,7
test/Bird-drop/Bird (87).jpg,test,Bird-drop,Bird (87).jpg,1815842,False,,986,740,RGBA,PNG,0.0156089605218976,False,False,daffd379076985fbef74204aa3371fadde82ebd16d80d4e4ed78071584106f74,10065313227914675423,18229720801525922288,False,,7
test/Clean/Clean (1).jpeg,test,Clean,Clean (1).jpeg,69816,False,,500,500,RGB,JPEG,2.7999440011199776e-05,False,False,70554b3007114f723211561375ae25caee23659a19303073ec30718917ba073b,3546548952489415318,9223089397908373504,False,,14
test/Clean/Clean (130).jpg,test,Clean,Clean (130).jpg,1716530,False,,2048,1536,RGB,JPEG,0.0019648857339949,False,False,4537c74ac2e30c412693d8e1aa7c3149b778931050a53a5d7e62dafa7d9cbad7,247837785825942302,18446533023028883480,False,,15
test/Clean/Clean (142).jpg,test,Clean,Clean (142).jpg,230347,False,,1024,768,RGB,JPEG,0.0008366860113219,False,False,58bac5d8adbb400e491558785a496c931da7b1e3485d91ee19c851737cdae1aa,9042092173934458350,18370430204677243008,False,,16
test/Clean/Clean (150).jpg,test,Clean,Clean (150).jpg,37836,False,,474,316,RGB,JPEG,0.0100009346667912,False,False,9cb83773a462058ed3fe847444a5908d2178d6d3c561d5907c7e5cdd5e516289,14395597600263176963,9279887966357831196,False,,17
test/Clean/Clean (152).jpg,test,Clean,Clean (152).jpg,47335,False,,474,315,RGB,JPEG,0.00042194092827,False,False,f0cd54a4fbdf8eb2cbb3215a3093b2f5e1c688506246af4fd17c02f50e93b4a0,17598210034954756998,16281302167038609036,False,,18
test/Clean/Clean (165).jpg,test,Clean,Clean (165).jpg,144246,False,,700,933,RGB,JPEG,0.0294640943193997,False,False,e7107ff22be551974af430c77cfaf1983cb341761d4a1c5661462403d1abdda4,1081718250485850759,18194295168985792524,False,,19
test/Clean/Clean (167).jpg,test,Clean,Clean (167).jpg,55106,False,,474,355,RGB,JPEG,0.0007903822954365,False,False,c407c54ce1a485cb34551e3962a3b0a308de9c043a9955a18b75113f00861f0c,13204060114163014867,18408498799547543782,False,,20
